Neighborhood;Income
Ituzaingo;23968
Ituzaingo;0
Cordon;53662
Cordon;0
Pocitos;73500
Punta Carretas;32271
Banados de Carrasco;45737
Banados de Carrasco;3100
Banados de Carrasco;0
Banados de Carrasco;0
Carrasco;49577
Carrasco;118771
Carrasco;0
Paso de las Duranas;45800
Paso de las Duranas;67220
Paso de las Duranas;29220
Paso de las Duranas;0
Tres Ombues y Victoria;42193
Tres Ombues y Victoria;26193
Tres Ombues y Victoria;53753
Tres Ombues y Victoria;22193
Manga y Toledo Chico;5600
Manga y Toledo Chico;22000
Manga y Toledo Chico;0
Manga y Toledo Chico;0
Manga y Toledo Chico;0
Manga y Toledo Chico;0
Villa Garcia y Manga Rur.;9850
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Punta Carretas;50000
Punta Carretas;22288
Conciliacion;18000
Capurro y Bella Vista;18271
Capurro y Bella Vista;21771
Capurro y Bella Vista;11000
Capurro y Bella Vista;0
Punta Carretas;166666 y6667
Punta Carretas;0
Punta Carretas;0
Punta Carretas;0
Conciliacion;39262
Conciliacion;0
Conciliacion;0
Punta Carretas;108424 y3333
Punta Carretas;0
Punta Carretas;0
Flor de Maronas;41238
Flor de Maronas;0
Capurro y Bella Vista;16288
Capurro y Bella Vista;11288
Buceo;276604 y3333
Buceo;22271
Buceo;0
La Figurita;49197
La Figurita;27197
Ituzaingo;32000
Ituzaingo;32193
Ituzaingo;0
Ituzaingo;0
Ituzaingo;0
Ituzaingo;0
Ituzaingo;9000
Pque. Batlle y V. Dolores;32714
Capurro y Bella Vista;47118
Capurro y Bella Vista;0
Capurro y Bella Vista;0
Capurro y Bella Vista;0
Capurro y Bella Vista;0
Capurro y Bella Vista;36284 y66667
Capurro y Bella Vista;25000
Ituzaingo;54236
Ituzaingo;11000
Ituzaingo;0
Pocitos;87197
Pocitos;0
Pocitos;0
Buceo;0
Buceo;0
Cerro;25193
Cerro;52193
Cerro;8000
Cerro;0
Manga y Toledo Chico;2200
Manga y Toledo Chico;20000
Manga y Toledo Chico;0
Manga y Toledo Chico;0
Pque. Batlle y V. Dolores;60000
Penarol y Lavalleja;100000
Buceo;36000
Cerro;12000
Cerro;30197
Cerro;17197
Cerro;0
Cerro;11600
Conciliacion;55000
Pocitos;104013 y3333
Pocitos;90000
Pocitos;0
Aires Puros;50604 y33333
Aires Puros;0
Pque. Batlle y V. Dolores;35000
Pocitos;30000
Castro y P. Castellanos;24000
Castro y P. Castellanos;34091
Castro y P. Castellanos;30394
Castro y P. Castellanos;3000
Castro y P. Castellanos;8197
Castro y P. Castellanos;0
Castro y P. Castellanos;0
Villa Espanola;28193
Villa Espanola;22193
Belvedere;24000
Belvedere;27288
Pocitos;88333 y33333
Nuevo Paris;6989
Nuevo Paris;14000
Capurro y Bella Vista;62621 y33333
Capurro y Bella Vista;18288
Capurro y Bella Vista;29288
Capurro y Bella Vista;10288
Capurro y Bella Vista;0
Capurro y Bella Vista;0
Nuevo Paris;18000
Las Acacias;16495
Las Acacias;75962
Las Acacias;0
Las Acacias;10262
Tres Cruces;32000
Ciudad Vieja;65220
Ciudad Vieja;15000
Punta Carretas;50250
Punta Carretas;35091
Malvin;107288
Malvin;0
Buceo;34197
Buceo;24197
Penarol y Lavalleja;47271
Punta Carretas;0
Punta Carretas;109288
Punta Carretas;0
Punta Carretas;0
Punta Carretas;0
Belvedere;13200
Belvedere;37220
Belvedere;0
Belvedere;0
Pocitos;62625
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;13193
Casabo y Pajas Blancas;0
Pque. Batlle y V. Dolores;57288
Manga y Toledo Chico;9000
Manga y Toledo Chico;37197
Manga y Toledo Chico;0
Manga y Toledo Chico;0
La Figurita;73700
Penarol y Lavalleja;48288
Penarol y Lavalleja;20288
Penarol y Lavalleja;0
Pocitos;80000
La Paloma y Tomkinson;43184
Paso de la Arena;0
Paso de la Arena;92197
Paso de la Arena;32197
Casabo y Pajas Blancas;30214
Casabo y Pajas Blancas;33214
Conciliacion;16271
Conciliacion;18271
Conciliacion;0
Conciliacion;0
Pocitos;81000
Pocitos;33000
Barrio Sur;56118
Tres Cruces;37456
Tres Cruces;57180
Villa Garcia y Manga Rur.;74697
Villa Garcia y Manga Rur.;20197
Buceo;8000
Buceo;8000
Pta. Rieles y Bella Italia;45000
Pta. Rieles y Bella Italia;18220
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Sayago;16193
Sayago;20000
Reducto;95288
Reducto;64288
Reducto;0
Las Acacias;20000
Penarol y Lavalleja;2600
Penarol y Lavalleja;30000
Centro;12000
Centro;15000
Centro;44288
Centro;27000
Penarol y Lavalleja;34193
Penarol y Lavalleja;20643
Penarol y Lavalleja;0
Reducto;65000
Reducto;12000
Reducto;0
Villa Espanola;40000
Paso de la Arena;11000
Cordon;105000
Conciliacion;36784
Conciliacion;6000
Conciliacion;0
Conciliacion;0
Conciliacion;0
La Teja;12000
La Teja;4100
La Teja;0
La Teja;0
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;16500
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
La Paloma y Tomkinson;9000
La Paloma y Tomkinson;13288
La Paloma y Tomkinson;15688
La Paloma y Tomkinson;0
Cerrito;32440
Cerrito;20000
Cerrito;0
Union;15000
Palermo;52913
Palermo;99788
Penarol y Lavalleja;18000
Penarol y Lavalleja;27288
Pta. Rieles y Bella Italia;17700
Pta. Rieles y Bella Italia;32440
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;1400
Pta. Rieles y Bella Italia;0
Aires Puros;27376
Cerrito;25000
Cerrito;0
Cerrito;75000
Las Acacias;40271
Centro;108928 y6667
Centro;24662
Centro;0
Centro;0
Centro;25189
Centro;32189
Pta. Rieles y Bella Italia;52000
Pta. Rieles y Bella Italia;0
Barrio Sur;26000
Barrio Sur;63328
Barrio Sur;0
Barrio Sur;0
Centro;62118
Centro;124284 y6667
Centro;0
Centro;32118
Colon Centro y Noroeste;29974
Colon Centro y Noroeste;17794
Penarol y Lavalleja;27288
Penarol y Lavalleja;3000
Penarol y Lavalleja;0
Penarol y Lavalleja;0
Penarol y Lavalleja;0
La Comercial;5000
La Comercial;35000
Nuevo Paris;9193
Nuevo Paris;60526 y33333
Nuevo Paris;32193
Nuevo Paris;0
Malvin Norte;19000
Malvin Norte;0
Aires Puros;55000
La Teja;9300
La Teja;24262
La Teja;0
Aguada;35000
Aguada;32197
Aguada;42197
Casabo y Pajas Blancas;17189
Casabo y Pajas Blancas;5300
Casabo y Pajas Blancas;2508
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
La Comercial;17288
La Comercial;32288
Pocitos;210
Pocitos;20214
Pocitos;55214
Pocitos;17214
Pocitos;0
Pocitos;0
Pocitos;0
Punta Gorda;51386 y66667
Punta Gorda;51386 y66667
Punta Gorda;41220
Punta Gorda;24720
Punta Gorda;24720
Carrasco;0
Carrasco;0
Casabo y Pajas Blancas;24055
Casabo y Pajas Blancas;22180
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
Brazo Oriental;24000
Brazo Oriental;15000
Buceo;2288
Buceo;0
Buceo;0
Buceo;0
Union;53000
Pocitos;42000
Pocitos;25000
Centro;75000
Centro;11000
Villa Munoz y Retiro;34497
Villa Munoz y Retiro;10000
Villa Munoz y Retiro;0
Carrasco;57082
Carrasco;25000
Pocitos;47193
Pocitos;33859 y66667
Villa Garcia y Manga Rur.;9640
Villa Garcia y Manga Rur.;2000
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Pocitos;176954 y6667
Las Canteras;0
Las Canteras;19000
Maronas y Parque Guarani;15000
Malvin Norte;35071
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
La Figurita;0
La Figurita;52118
Larranaga;32118
Larranaga;15000
Punta Carretas;143621 y3333
Punta Carretas;30538
Punta Carretas;0
Punta Carretas;0
Sayago;24588
Manga y Toledo Chico;50000
Manga y Toledo Chico;17000
Union;31697
Union;39197
Penarol y Lavalleja;46100
Penarol y Lavalleja;8000
Penarol y Lavalleja;0
Penarol y Lavalleja;2189
Penarol y Lavalleja;7000
Casavalle;26862
Casavalle;1400
Casavalle;0
Belvedere;30000
Belvedere;0
Belvedere;23201
Villa Garcia y Manga Rur.;24288
Villa Garcia y Manga Rur.;0
Larranaga;34893
Larranaga;0
Larranaga;0
Larranaga;0
Nuevo Paris;23000
Nuevo Paris;26193
Nuevo Paris;0
Nuevo Paris;0
Punta Gorda;62568
Punta Gorda;0
Punta Gorda;0
Reducto;93703
Manga;50200
Manga;0
Manga;22193
Cordon;29288
Cordon;2288
Prado y Nueva Savona;15000
Prado y Nueva Savona;10000
Malvin;62000
